;;Jahr;SDB €/ha;Ertrag dt/ha;Preis €/dt;Leistung €/ha;Variable Kosten €/ha;SDB mit Ertragsminderung
Weichweizen und Spelz;Mecklenburg- Vorpommern;2000/01;496,985;68,1;11,85;807;310;12,7939999999999
Weichweizen und Spelz;Mecklenburg- Vorpommern;2001/02;502,13;77,8;10,85;844;342;-4,34800000000013
Weichweizen und Spelz;Mecklenburg- Vorpommern;2002/03;402,433;70,7;10,19;720;318;-29,8268
Weichweizen und Spelz;Mecklenburg- Vorpommern;2003/04;490,112;63,3;12,64;800;310;10,0448
Weichweizen und Spelz;Mecklenburg- Vorpommern;2004/05;382,28;78,4;9,2;721;339;-50,4880000000001
Weichweizen und Spelz;Mecklenburg- Vorpommern;2005/06;345,104;74,4;9,41;700;355;-74,9584
Weichweizen und Spelz;Mecklenburg- Vorpommern;2006/07;559,678;72,6;12,53;910;350;13,8711999999999
Weichweizen und Spelz;Mecklenburg- Vorpommern;2007/08;1021,044;60,6;22,74;1.378;357;194,2176
Weichweizen und Spelz;Mecklenburg- Vorpommern;2008/09;637,12;79,6;14,7;1.170;533;-64,9520000000002
Weichweizen und Spelz;Mecklenburg- Vorpommern;2009/10;438,86;79,5;11,08;881;442;-89,6560000000001
Weichweizen und Spelz;Mecklenburg- Vorpommern;2010/11;1094,461;70,3;21,87;1.537;443;171,9844
Weichweizen und Spelz;Mecklenburg- Vorpommern;2011/12;758,961;66,7;18,83;1.255;497;5,38439999999986
Weichweizen und Spelz;Mecklenburg- Vorpommern;2012/13;1232,157;74,3;22,99;1.709;476;207,2628
Weichweizen und Spelz;Mecklenburg- Vorpommern;2013/14;1042,62;84,1;18,2;1.531;488;124,248
Weichweizen und Spelz;Mecklenburg- Vorpommern;2014/15;1008,68;90,4;16,7;1.510;501;102,872
Weichweizen und Spelz;Mecklenburg- Vorpommern;2015/16;808,894;88,2;14,67;1.294;485;32,5575999999999
Weichweizen und Spelz;Mecklenburg- Vorpommern;2016/17;610,175;67,5;15,01;1.014;403;2,26999999999987
Weichweizen und Spelz;Mecklenburg- Vorpommern;2017/18;691,74;74,8;15,05;1.127;434;16,2959999999999
Gerste;Mecklenburg- Vorpommern;2000/01;394,12;61,6;10,7;659;265;-1,35200000000009
Gerste;Mecklenburg- Vorpommern;2001/02;451,98;74,5;10,04;748;296;3,19199999999989
Gerste;Mecklenburg- Vorpommern;2002/03;306,852;60,6;9,42;571;264;-35,6592000000001
Gerste;Mecklenburg- Vorpommern;2003/04;343,524;53,9;11,16;602;258;-17,3904000000001
Gerste;Mecklenburg- Vorpommern;2004/05;365,068;69,1;9,48;655;290;-27,9728000000001
Gerste;Mecklenburg- Vorpommern;2005/06;321,656;64,9;9,44;613;291;-45,9376
Gerste;Mecklenburg- Vorpommern;2006/07;462,84;61,5;12,16;748;285;14,1359999999999
Gerste;Mecklenburg- Vorpommern;2007/08;869,49;55,5;21,18;1.176;306;164,196
Gerste;Mecklenburg- Vorpommern;2008/09;517,71;69,5;13,78;957;440;-56,9160000000001
Gerste;Mecklenburg- Vorpommern;2009/10;274,922;68,3;9,34;638;363;-107,8312
Gerste;Mecklenburg- Vorpommern;2010/11;889,787;71,9;17,73;1.274;385;124,9148
Gerste;Mecklenburg- Vorpommern;2011/12;614,364;55,6;18,19;1.011;397;7,54559999999992
Gerste;Mecklenburg- Vorpommern;2012/13;934,848;67,8;20,16;1.368;432;114,7392
Gerste;Mecklenburg- Vorpommern;2013/14;773,017;76,9;15,93;1.225;452;38,0067999999999
Gerste;Mecklenburg- Vorpommern;2014/15;656,72;79,2;14,1;1.117;460;-13,3120000000001
Gerste;Mecklenburg- Vorpommern;2015/16;649,025;83,5;13,15;1.098;449;-9,79000000000008
Gerste;Mecklenburg- Vorpommern;2016/17;359,756;57,4;12,94;743;383;-85,8976000000001
Gerste;Mecklenburg- Vorpommern;2017/18;674,515;76,9;14,35;1.103;429;12,4059999999999
Raps und Rübsen;Mecklenburg- Vorpommern;2000/01;378,629;37,7;18,77;707;329;-45,9484000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2001/02;533,896;40,8;21,37;873;338;10,7583999999999
Raps und Rübsen;Mecklenburg- Vorpommern;2002/03;407,944;31,4;22,96;721;313;-24,6224000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2003/04;397,601;33,3;21,97;731;334;-41,3596000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2004/05;451;44;18,5;814;363;-37,4000000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2005/06;382,607;37,7;19,91;750;368;-67,7572
Raps und Rübsen;Mecklenburg- Vorpommern;2006/07;514,25;37,5;24,06;901;388;-27,1000000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2007/08;588,811;33,1;30,81;1.021;431;-23,0756000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2008/09;859,005;39,7;36,65;1.456;596;-13,9980000000002
Raps und Rübsen;Mecklenburg- Vorpommern;2009/10;602,621;44,9;24,29;1.092;488;-51,7516000000002
Raps und Rübsen;Mecklenburg- Vorpommern;2010/11;1168,591;40,1;41,91;1.682;512;160,2364
Raps und Rübsen;Mecklenburg- Vorpommern;2011/12;683,228;26,6;43,58;1.158;476;-12,3088000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2012/13;1176,57;39,3;44,9;1.763;588;117,828
Raps und Rübsen;Mecklenburg- Vorpommern;2013/14;882,898;41,4;35,07;1.451;569;11,7591999999999
Raps und Rübsen;Mecklenburg- Vorpommern;2014/15;854,01;44,5;32,18;1.433;578;-5,19600000000014
Raps und Rübsen;Mecklenburg- Vorpommern;2015/16;844,48;40,8;34,35;1.403;557;3,59199999999987
Raps und Rübsen;Mecklenburg- Vorpommern;2016/17;536,313;26,7;37,39;997;462;-62,6748000000001
Raps und Rübsen;Mecklenburg- Vorpommern;2017/18;513,127;29,7;33,91;1.006;494;-91,1492000000001
Hafer;Mecklenburg- Vorpommern;2000/01;274,316;35,6;11,61;413;139;26,3263999999999
Hafer;Mecklenburg- Vorpommern;2001/02;375,32;48;11,09;533;157;55,9279999999999
Hafer;Mecklenburg- Vorpommern;2002/03;267,008;41,6;9,88;411;144;20,4032
Hafer;Mecklenburg- Vorpommern;2003/04;262,184;42,2;9,72;411;148;16,0736
Hafer;Mecklenburg- Vorpommern;2004/05;347,7;54;9,55;516;168;38,28
Hafer;Mecklenburg- Vorpommern;2005/06;197,587;42,1;8,47;357;159;-16,3652
Hafer;Mecklenburg- Vorpommern;2006/07;251,885;39,5;10,63;420;168;-0,046000000000021
Hafer;Mecklenburg- Vorpommern;2007/08;570,364;35,6;21,19;755;184;117,7456
Hafer;Mecklenburg- Vorpommern;2008/09;223,79;31;14,09;437;213;-38,284
Hafer;Mecklenburg- Vorpommern;2009/10;242,337;46,9;9,73;456;214;-31,4652
Hafer;Mecklenburg- Vorpommern;2010/11;537,539;42,1;17,59;740;203;93,2155999999999
Hafer;Mecklenburg- Vorpommern;2011/12;433,405;33,9;18,95;642;209;47,9619999999999
Hafer;Mecklenburg- Vorpommern;2012/13;628,531;41,9;20,49;859;230;113,4124
Hafer;Mecklenburg- Vorpommern;2013/14;487,676;48,4;14,89;721;233;55,2703999999999
Hafer;Mecklenburg- Vorpommern;2014/15;366,757;47,1;12,67;597;230;8,70279999999994
Hafer;Mecklenburg- Vorpommern;2015/16;416,959;44,3;14,13;626;209;41,3835999999999
Hafer;Mecklenburg- Vorpommern;2016/17;368,852;40,4;14,13;570;202;26,3408
Hafer;Mecklenburg- Vorpommern;2017/18;423,536;43,1;14,56;628;204;47,0144
